context,CPP,Energy,H1A1c,H1A2c,H1A3c,H1H2c,H2H4c,H2KH5Kc,H42Kc,HNR05,HNR15,HNR25,HNR35,SHR,soe,Z1mnZ0,Z2mnZ1,Z3mnZ2,Z4mnZ3,F0Bark,A1mnA2,A1mnA3,A2mnA3
Non-Guttural,25.077,11.53516667,12.89666667,15.09983333,2.1215,-1.569833333,3.424666667,26.15633333,4.817166667,23.22666667,20.2575,25.1355,24.21866667,0.497,0.039833333,4.993470927,4.549977474,4.757814043,1.548526468,1.060324983,2.203333333,-10.77516667,-12.9785
Non-Guttural,26.55766667,5.499166667,16.4175,19.49066667,8.199833333,-0.697666667,5.404,25.2675,7.433333333,33.38733333,31.63633333,35.54083333,33.316,0.575,0.040333333,4.924514196,4.608433691,5.050961117,1.51858305,0.955954892,3.073333333,-8.217333333,-11.29066667
Non-Guttural,27.81866667,11.32966667,13.51216667,15.1875,5.532,0.251333333,1.035,21.91416667,7.479833333,35.40466667,32.773,33.49733333,30.93566667,0.403,0.043333333,4.930733277,5.017945449,4.216484037,1.728030217,1.031500344,1.674833333,-7.980333333,-9.655166667
Non-Guttural,29.0425,11.00633333,13.87083333,13.934,7.4895,-0.048333333,1.1485,23.86783333,8.4585,34.21633333,29.985,32.42866667,30.747,0.500166667,0.039833333,4.964269463,4.813311652,4.400444137,1.402428213,1.034813753,0.063333333,-6.381,-6.444333333
Non-Guttural,26.82083333,6.758833333,18.34766667,18.02816667,10.85616667,1.375833333,4.040166667,25.26233333,4.341,33.11333333,31.52033333,33.93766667,31.424,0.652,0.051666667,4.912093081,4.884950467,4.566537993,1.551540385,0.956971576,-0.319666667,-7.4915,-7.171833333
Guttural,26.104,13.20466667,17.03216667,15.24783333,9.653666667,0.134666667,1.533,9.446166667,8.176833333,30.8585,23.63666667,25.14566667,24.63116667,0.670666667,0.045333333,6.332490601,3.615676495,4.236764107,2.196639065,1.039678156,-1.784166667,-7.3785,-5.594333333
Guttural,24.0465,17.79683333,15.422,15.31183333,12.99516667,0.328833333,2.162333333,7.853833333,6.394666667,22.93483333,14.94716667,17.68316667,18.49966667,0.673833333,0.046166667,6.359832803,3.498095374,4.329433895,2.117490017,1.053294963,-0.1105,-2.427,-2.3165
Guttural,26.859,16.82883333,16.77916667,16.69866667,7.156833333,0.15,3.510666667,18.12666667,4.436666667,31.77166667,24.60433333,26.77766667,24.87916667,0.637,0.0505,6.549509771,3.336993383,4.50888301,1.739011923,0.96540602,-0.0805,-9.6225,-9.542
Guttural,28.38966667,12.38683333,17.68616667,18.2835,9.0345,1.346,0.38,14.56083333,6.695,41.34433333,34.428,35.4605,33.09133333,0.780333333,0.038666667,6.160997644,3.462779836,4.676847703,2.008642185,1.020168785,0.5975,-8.6515,-9.249
Guttural,27.747,12.04516667,17.96116667,18.893,10.52683333,1.3565,0.773,14.487,8.992666667,36.55516667,29.4315,31.433,30.16066667,0.708833333,0.0475,6.113454691,3.587614421,4.628216242,2.112370732,1.002519495,0.9315,-7.4345,-8.366
Guttural,27.721,17.0955,18.56433333,17.503,4.353333333,1.8885,1.764,15.78766667,5.808333333,33.22016667,24.685,26.67733333,24.198,0.787833333,0.054166667,6.339750231,3.318829958,4.778665938,1.713301107,0.978657333,-1.061333333,-14.21116667,-13.14983333
Non-Guttural,22.96883333,4.981166667,19.39616667,16.40983333,14.987,1.753,2.905833333,17.56733333,7.654833333,31.30033333,27.19166667,26.68916667,25.51183333,0.416833333,0.033833333,5.386772826,4.953433078,4.004000253,2.093291562,1.023630897,-2.986,-4.408833333,-1.422833333
Non-Guttural,25.53066667,7.6865,15.54533333,14.98066667,9.157333333,-0.061333333,2.075833333,19.07616667,9.3665,31.94616667,29.26133333,29.22783333,27.09566667,0.5045,0.03,5.357834979,4.906479022,4.032113377,1.951796527,1.015674926,-0.565,-6.388333333,-5.823333333
Non-Guttural,23.668,6.248166667,19.74616667,19.2105,12.74033333,1.890333333,5.349666667,23.5845,5.8855,25.40533333,21.93966667,22.94083333,22.09566667,0.574,0.042,5.17440371,5.049544032,3.936225688,1.64039637,0.975703723,-0.5355,-7.005666667,-6.470166667
Non-Guttural,26.66716667,11.72533333,13.13933333,13.19183333,5.7435,-0.7715,3.0025,22.12133333,5.649,28.85883333,29.50666667,30.79616667,29.37983333,0.435,0.037666667,5.043046898,5.340702538,3.990238918,1.820637098,1.040966239,0.052333333,-7.396,-7.448333333
Non-Guttural,26.96466667,11.06016667,12.09366667,12.776,1.340333333,-1.496833333,3.552666667,21.1485,5.417666667,21.8805,20.75533333,23.61016667,22.90716667,0.360333333,0.037333333,5.050613779,5.140576886,4.155230327,1.570804093,1.029496068,0.682,-10.75333333,-11.43533333
Non-Guttural,26.62966667,8.083666667,14.01966667,15.49016667,8.8505,-1.276166667,5.295166667,25.81916667,5.303333333,30.49783333,30.33033333,31.84916667,30.73583333,0.364666667,0.0485,4.884621411,5.453648974,4.234460867,1.492746335,0.961903285,1.470833333,-5.1685,-6.639333333
Non-Guttural,24.69066667,6.106666667,8.592,8.159,1.235,-4.033166667,6.7945,21.4945,8.095666667,22.136,39.01283333,37.17816667,32.54883333,0.411166667,0.077333333,2.20214448,10.52379251,1.949598277,1.265772998,1.167939751,-0.432833333,-7.357,-6.924166667
Non-Guttural,25.72433333,4.574833333,7.871166667,8.5195,3.510666667,-2.347833333,6.065,22.02933333,9.5385,23.01466667,39.04533333,36.617,32.48733333,0,0.066833333,2.45458872,10.19780893,1.818750155,1.494094963,1.070961698,0.648166667,-4.360333333,-5.0085
Non-Guttural,24.1135,3.181833333,13.03616667,9.018833333,5.903,-1.502833333,6.0255,20.95066667,8.6385,18.67966667,35.43316667,33.1865,29.24,0.350833333,0.055833333,2.53819234,10.058316,1.84664424,1.491481382,1.035460628,-4.017,-7.133,-3.116
Non-Guttural,30.57733333,7.051833333,7.373333333,6.967666667,-1.704666667,-2.883833333,8.014166667,19.516,6.757666667,31.1855,47.49066667,46.64416667,42.52466667,0,0.0705,2.326039777,10.18919238,2.075020438,1.18649197,1.060988833,-0.405833333,-9.078,-8.672166667
Non-Guttural,27.60683333,5.991,9.562333333,5.578333333,0.553166667,-3.215166667,7.4215,19.719,4.994333333,27.98166667,42.51233333,39.67416667,35.06716667,0,0.063666667,2.406010859,10.09720781,2.018626185,1.498697792,1.070900135,-3.984,-9.009,-5.025
Non-Guttural,26.13966667,3.3635,11.4545,8.0205,3.913333333,-0.203166667,5.655,17.042,7.889666667,23.01766667,40.24466667,38.7245,34.88983333,0.081166667,0.052833333,2.397300558,10.25864434,1.884174313,1.653971053,1.004600315,-3.434,-7.541166667,-4.107166667
Guttural,23.99033333,9.960666667,14.00233333,12.43433333,2.048833333,-1.539833333,9.407,17.73483333,-1.51,19.28916667,25.59683333,25.56933333,23.64,0.432666667,0.068333333,3.296473049,7.27094364,3.520418205,1.710197477,1.170784263,-1.568166667,-11.95383333,-10.38566667
Guttural,24.98066667,6.865,8.8995,11.03266667,12.913,-1.309666667,7.541,20.15116667,5.995,20.16366667,32.46866667,30.64416667,29.81333333,0.313333333,0.063833333,3.16067733,8.439895343,2.229714378,2.26372008,1.103090262,2.133,4.013333333,1.880333333
Guttural,22.884,6.956666667,8.78,10.76116667,8.546833333,-0.992166667,8.422166667,18.94366667,1.4565,14.7475,24.92283333,23.84483333,23.0195,0.295166667,0.056666667,3.203784287,7.896060085,2.898329787,1.81649629,1.073404898,1.981166667,-0.233,-2.214166667
Guttural,27.01566667,4.6755,13.0815,8.753833333,4.991166667,-1.6295,6.630166667,29.6595,4.942,25.47266667,37.83566667,36.571,33.116,0,0.0655,2.570187427,8.641230722,2.596262343,1.314596808,1.131689318,-4.327166667,-8.090166667,-3.763
Guttural,25.42633333,5.078,12.52283333,10.40416667,0.7025,-0.959833333,6.4615,24.65483333,3.320833333,27.9295,39.54033333,36.778,31.84816667,0.028833333,0.061666667,2.604900138,9.014236756,2.628167502,1.15106861,1.086920424,-2.119333333,-11.82033333,-9.701
Guttural,26.21866667,3.023833333,15.71916667,15.71616667,11.87966667,0.961333333,6.8485,16.89166667,14.40033333,26.76816667,42.11033333,39.357,35.09283333,0.442333333,0.060833333,2.804292577,8.916974865,2.353744562,1.104984505,0.997366736,-0.003,-3.839166667,-3.836166667
Non-Guttural,25.15316667,2.568333333,11.5065,18.011,9.935,-1.9015,5.582166667,15.90183333,12.257,19.637,36.8335,38.26916667,35.42366667,0.0235,0.047833333,2.677180761,10.41563255,1.865685577,1.221864405,1.081060698,6.5045,-1.5715,-8.076
Non-Guttural,26.025,3.7455,10.39,11.03066667,7.748166667,-1.5565,5.5425,18.438,9.245,23.8445,39.84933333,38.52683333,35.17283333,0.268833333,0.062833333,2.709762904,9.997910491,2.119704433,1.029633962,1.06157812,0.640833333,-2.641666667,-3.2825
Non-Guttural,24.54366667,3.2345,11.58816667,10.59266667,7.614666667,-1.012666667,6.4835,18.45333333,7.676666667,15.89683333,32.332,30.92083333,28.09216667,0.311833333,0.057,2.745494679,10.10009673,2.09795925,1.247285938,1.038599542,-0.995166667,-3.9735,-2.978333333
Non-Guttural,28.41116667,8.846833333,6.874,6.418166667,-8.700166667,-4.172833333,9.521333333,22.08583333,4.933166667,29.97833333,46.4385,43.96266667,38.48733333,0,0.066833333,2.2782589,10.11216703,2.596222857,0.342588495,1.121212264,-0.455666667,-15.574,-15.11833333
Non-Guttural,26.49266667,6.128,7.011,7.993833333,-2.919333333,-3.0755,8.331833333,18.75116667,2.867666667,26.21066667,41.71516667,39.76066667,34.85283333,0,0.067333333,2.36769746,10.32666925,2.19216576,0.937390355,1.067712362,0.983166667,-9.930166667,-10.91333333
Non-Guttural,24.41833333,3.2395,12.25066667,10.17883333,-1.256666667,0.476833333,7.387166667,11.0885,6.752,23.26016667,38.90716667,36.8845,31.91116667,0.156666667,0.055666667,2.298003872,10.60481701,2.233338582,0.834414907,0.977725588,-2.071833333,-13.5075,-11.43566667
Non-Guttural,24.16683333,6.671666667,4.600833333,-0.120166667,-1.578,-6.0995,4.361833333,16.75933333,7.042,22.186,36.59233333,33.25683333,28.80033333,0.2005,0.065833333,2.500770341,10.19186112,1.963442337,1.420218103,1.125808638,-4.721,-6.178666667,-1.457666667
Non-Guttural,23.25066667,3.877,8.227666667,7.162833333,1.3375,-1.3835,4.628,18.83283333,6.363833333,20.09783333,35.67316667,33.00066667,28.98283333,0,0.058166667,2.474394696,10.20277918,2.215134068,0.962148192,1.064169002,-1.064833333,-6.89,-5.825166667
Non-Guttural,24.27583333,4.007333333,7.906333333,0.568,-0.832833333,-2.855833333,4.805166667,14.93433333,4.563333333,22.9485,39.11416667,35.8675,31.39066667,0.2655,0.0445,2.628050837,10.21993816,2.059918708,1.205449403,1.058504492,-7.338166667,-8.739333333,-1.401166667
Non-Guttural,29.32683333,5.813833333,11.46666667,6.2075,4.961166667,-1.064666667,6.664333333,24.496,2.008,32.03116667,44.37983333,41.025,37.6415,0,0.064333333,2.681312873,9.473836876,1.916303233,1.604841887,1.070673198,-5.259333333,-6.506,-1.246666667
Non-Guttural,25.33916667,4.640666667,13.811,8.075333333,8.913333333,0.140166667,6.098166667,23.46716667,4.982833333,24.29433333,38.2885,33.88783333,30.21933333,0.453833333,0.0555,2.814141755,9.553649967,1.70482309,1.503329795,1.025435321,-5.735833333,-4.898,0.837833333
Non-Guttural,27.04983333,5.339333333,13.71116667,9.962,13.0105,4.262833333,7.751666667,23.98,0.813333333,26.42616667,39.09583333,34.89483333,32.278,0.591,0.051333333,3.003633864,9.041533005,1.744518833,1.764206315,0.986091273,-3.749,-0.7,3.049
Guttural,26.6675,8.298,13.62583333,17.81033333,-4.839833333,0.641166667,7.724333333,25.4045,-1.966,23.46333333,28.652,30.667,27.89316667,0.561166667,0.0555,3.340343229,6.364205701,4.601504881,1.221443035,1.048071274,4.184333333,-18.46533333,-22.64966667
Guttural,26.556,6.9845,12.87433333,14.356,1.241,4.164833333,4.266166667,24.67933333,-0.6165,25.35866667,33.11583333,32.6115,29.39833333,0.503333333,0.047833333,3.284784014,7.612212952,3.292855234,1.30651492,1.009506464,1.481833333,-11.63333333,-13.11516667
Guttural,24.96783333,9.881166667,13.53816667,17.75266667,5.358833333,4.1505,4.842666667,19.50766667,0.002333333,21.65133333,26.94283333,28.2985,26.691,0.445166667,0.058,3.363485579,6.785616166,3.889031498,1.757322615,1.020838421,4.214,-8.18,-12.394
Non-Guttural,27.32333333,6.903166667,7.480833333,2.7015,-0.574333333,-2.979,5.9925,20.5695,5.854833333,20.85266667,36.347,34.4035,29.81133333,0,0.069666667,2.432601991,10.29579732,1.752511217,1.11580287,1.105142146,-4.779333333,-8.055166667,-3.275833333
Non-Guttural,26.63633333,4.175333333,9.600666667,4.29,-0.915,-2.0635,4.226333333,21.297,9.777,19.42583333,36.78616667,35.612,31.137,0.063833333,0.061166667,2.502115219,10.26030851,1.881671757,0.790178887,1.033186107,-5.310333333,-10.5155,-5.205166667
Non-Guttural,25.47766667,3.714333333,10.95416667,4.741333333,2.323333333,-2.317333333,5.063333333,23.39433333,8.241833333,15.23716667,33.257,30.83916667,26.266,0.387166667,0.056666667,2.560814409,10.21046888,1.686601255,1.335266197,1.006539977,-6.2125,-8.630666667,-2.418166667
Non-Guttural,25.744,9.3385,7.704333333,3.016666667,0.651833333,-3.453166667,7.541166667,19.078,5.4395,24.68216667,38.759,34.6215,29.15183333,0,0.0695,2.380116974,10.22887369,1.796330362,1.35714021,1.087926482,-4.687833333,-7.052333333,-2.3645
Non-Guttural,29.08683333,4.812,10.781,5.438166667,3.64,-1.141166667,4.4665,19.64266667,7.803166667,28.685,45.92716667,43.54183333,38.63883333,0,0.062166667,2.572053984,10.15083115,1.713960507,1.400724035,1.015482528,-5.342666667,-7.140666667,-1.798
Non-Guttural,26.24766667,3.4975,15.22866667,7.074833333,7.253833333,0.267666667,6.368333333,13.624,9.893666667,26.8125,43.44216667,40.24066667,35.324,0.503666667,0.049333333,2.586845789,10.08555424,1.692021162,1.658542015,0.982767998,-8.154166667,-7.975,0.179166667
Guttural,27.32883333,8.93,11.24133333,2.697666667,4.946666667,-3.298166667,6.234,14.79283333,8.148333333,18.0545,31.6205,28.08983333,25.347,0.582333333,0.059833333,2.864461136,9.113537281,1.665603055,1.85837013,1.124695964,-8.543833333,-6.2945,2.249333333
Guttural,25.13366667,5.666666667,11.1215,6.970833333,2.848,-1.6155,6.831166667,19.268,4.645166667,19.87083333,34.42066667,30.543,25.62866667,0.561333333,0.065666667,2.993445905,9.066596835,2.083157933,1.451976253,1.049332922,-4.151,-8.273666667,-4.122666667
Guttural,22.07816667,6.520833333,8.810166667,6.967666667,4.062166667,-2.079166667,8.373166667,16.4555,1.597833333,12.94666667,26.47316667,23.1015,19.6405,0.309,0.057833333,3.066050606,8.955902569,1.97213972,1.780103283,1.067723992,-1.842666667,-4.748333333,-2.905666667
Guttural,26.697,8.2795,12.22866667,13.08333333,-1.072833333,-0.912166667,9.821,21.28616667,-2.9945,22.0475,29.76766667,30.35183333,27.8035,0.566,0.0645,3.265283567,7.495166412,3.498633906,1.45759419,1.061857936,0.854666667,-13.30166667,-14.15633333
Guttural,27.88283333,6.787166667,13.108,9.650333333,3.45,-0.533666667,9.213833333,22.79166667,-1.4185,27.841,37.71933333,34.76583333,30.98083333,0.670333333,0.063833333,3.062705702,8.417232441,2.645417123,1.500730905,1.059750229,-3.458,-9.658166667,-6.200166667
Guttural,26.94066667,9.193333333,11.17216667,14.36633333,3.103,2.323166667,7.363333333,23.65666667,-2.794,22.8025,30.99683333,31.49416667,30.15466667,0.519666667,0.060666667,3.263613773,7.435293599,3.34048439,1.667808147,1.015019805,3.1945,-8.069,-11.2635
Non-Guttural,27.37166667,3.3125,11.466,6.596,1.450166667,-1.110166667,4.2975,23.78483333,6.197333333,22.321,39.08016667,37.96616667,33.56466667,0.041166667,0.0635,2.683330301,10.23492395,1.873542247,0.527684253,1.084288791,-4.869833333,-10.01583333,-5.146
Non-Guttural,24.58683333,5.653166667,11.09266667,3.370666667,3.145833333,-2.040333333,6.748166667,19.9325,3.737,17.3985,32.003,29.976,26.058,0.4925,0.058833333,3.037006781,9.736685787,1.78426449,1.227395305,1.094040928,-7.7225,-7.947166667,-0.224666667
Non-Guttural,26.87833333,2.8035,13.64783333,11.18166667,8.717333333,0.231833333,10.53466667,18.533,0.742166667,16.58233333,33.375,33.018,30.264,0.462333333,0.053666667,2.97394716,9.924883338,1.9195406,1.390765638,0.992545081,-2.466166667,-4.9305,-2.464333333
Non-Guttural,27.26066667,5.609833333,14.26383333,6.475,5.524,-1.664666667,8.570166667,18.39033333,4.670166667,28.86183333,40.95116667,37.46,32.64266667,0.199,0.059833333,3.022122718,9.632036111,1.68926645,1.264955642,1.079732003,-7.788666667,-8.739666667,-0.951
Non-Guttural,28.50966667,5.737333333,10.48666667,6.993333333,4.893666667,-0.262333333,7.725166667,18.74333333,3.312,28.80383333,43.57716667,41.31166667,36.77833333,0.628333333,0.0555,3.065392984,9.671437535,1.783781827,1.350338832,1.026089386,-3.493333333,-5.593166667,-2.099833333
Non-Guttural,26.56683333,6.459833333,10.17266667,8.224833333,4.001,0.365833333,9.212333333,20.92483333,-0.401833333,26.47066667,39.38733333,35.56233333,30.022,0.425333333,0.055166667,3.067375462,9.588399497,1.929538633,1.077732723,0.975365102,-1.948,-6.171833333,-4.223833333
